date,pnl,daily_pnl,state,acct_pnl,actual_balance,bankroll,pa_days,pa_wins,payout_num,eval_days,tag
2016-01-11,-420,-420,eval,-420.0,-420.0,-40,0,0,0,0,eval_trade
2016-01-12,-420,-420,eval,-840.0,-840.0,-40,0,0,0,1,eval_trade
2016-01-13,-420,-420,eval,-1260.0,-1260.0,-40,0,0,0,2,eval_trade
2016-01-18,704,704,eval,-556.0,-556.0,-40,0,0,0,7,eval_trade
2016-01-19,704,704,eval,148.0,148.0,-40,0,0,0,8,eval_trade
2016-01-20,-420,-420,eval,-272.0,-272.0,-40,0,0,0,9,eval_trade
2016-02-02,-420,-420,eval,-692.0,-692.0,-40,0,0,0,22,eval_trade
2016-02-10,704,704,eval,12.0,12.0,-40,0,0,0,30,eval_trade
2016-02-11,704,704,resetting,0.0,0.0,-80,0,0,0,0,eval_expired_30days
2016-02-15,-420,-420,eval,-420.0,-420.0,-80,0,0,0,4,eval_trade
2016-02-18,-420,-420,eval,-840.0,-840.0,-80,0,0,0,7,eval_trade
2016-02-23,704,704,eval,-136.0,-136.0,-80,0,0,0,12,eval_trade
2016-02-25,-420,-420,eval,-556.0,-556.0,-80,0,0,0,14,eval_trade
2016-02-29,-420,-420,eval,-976.0,-976.0,-80,0,0,0,18,eval_trade
2016-03-02,-420,-420,eval,-1396.0,-1396.0,-80,0,0,0,20,eval_trade
2016-03-07,-420,0,resetting,0.0,0.0,-120,0,0,0,0,eval_failed_trailing_dd
2016-03-15,704,704,eval,704.0,704.0,-120,0,0,0,8,eval_trade
2016-03-16,-420,-420,eval,284.0,284.0,-120,0,0,0,9,eval_trade
2016-03-23,-420,-420,eval,-136.0,-136.0,-120,0,0,0,16,eval_trade
2016-03-29,704,704,eval,568.0,568.0,-120,0,0,0,22,eval_trade
2016-04-04,-420,-420,eval,148.0,148.0,-120,0,0,0,28,eval_trade
2016-04-12,704,704,resetting,0.0,0.0,-160,0,0,0,0,eval_expired_30days
2016-04-18,-420,-420,eval,-420.0,-420.0,-160,0,0,0,6,eval_trade
2016-04-19,-420,-420,eval,-840.0,-840.0,-160,0,0,0,7,eval_trade
2016-04-27,-420,-420,eval,-1260.0,-1260.0,-160,0,0,0,15,eval_trade
2016-05-16,-420,-420,resetting,0.0,0.0,-200,0,0,0,0,eval_expired_30days
2016-05-18,-420,-420,eval,-420.0,-420.0,-200,0,0,0,2,eval_trade
2016-05-24,704,704,eval,284.0,284.0,-200,0,0,0,8,eval_trade
2016-05-26,-420,-420,eval,-136.0,-136.0,-200,0,0,0,10,eval_trade
2016-05-31,-420,-420,eval,-556.0,-556.0,-200,0,0,0,15,eval_trade
2016-06-02,-420,-420,eval,-976.0,-976.0,-200,0,0,0,17,eval_trade
2016-06-07,704,704,eval,-272.0,-272.0,-200,0,0,0,22,eval_trade
2016-06-16,-420,-420,resetting,0.0,0.0,-240,0,0,0,0,eval_expired_30days
2016-06-20,-420,-420,eval,-420.0,-420.0,-240,0,0,0,4,eval_trade
2016-06-21,-420,-420,eval,-840.0,-840.0,-240,0,0,0,5,eval_trade
2016-06-22,704,704,eval,-136.0,-136.0,-240,0,0,0,6,eval_trade
2016-06-28,704,704,eval,568.0,568.0,-240,0,0,0,12,eval_trade
2016-07-05,-420,-420,eval,148.0,148.0,-240,0,0,0,19,eval_trade
2016-07-06,704,704,eval,852.0,852.0,-240,0,0,0,20,eval_trade
2016-07-14,-420,-420,eval,432.0,432.0,-240,0,0,0,28,eval_trade
2016-07-21,-420,-420,resetting,0.0,0.0,-280,0,0,0,0,eval_expired_30days
